InputStoryid	RandomFifthSentenceQuiz1	RandomFifthSentenceQuiz2	AnswerRightEnding	context	nsp_pred	ppl_pred
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb	My friends decided to keep inviting me out as I am so much fun.	The next weekend, I was asked to please stay home.	2	My friends all love to go to the club to dance. They think it's a lot of fun and always invite. I finally decided to tag along last Saturday. I danced terribly and broke a friend's toe.	1	2
7cbbc0af-bcce-4f56-871d-963f9bb6a99d	My allergies were too bad and I had to go back home.	It reminded me of how much I loved spring flowers.	1	I tried going to the park the other day. The weather seemed nice enough for a walk. Within minutes of getting there I started sneezing. My eyes were watery and it was hard to breathe.	1	1
4745d627-be9b-45f2-ad92-99c82cc83f85	Avery thought her children would be happy with her decision.	Avery regretted what she did the next day.	2	Avery was married with children. She was tired of her boring life. One day, she decided to meet up with an old boyfriend from college. She made poor decisions that night and was unfaithful to her husband.	1	2
6bc5a855-3a02-454c-8d8b-4428b1864f95	Josh thought that the pie was delicious.	Josh got sick.	2	Josh loved when his mom baked apple pie. He hated how he always had to wait until after dinner though. So he decided this time he would sneak a piece before dinner. The eggs his mom used must have been bad though.	1	1
2f74e81d-957b-4541-9e66-59e5eaa6aef1	He felt inspiration and then went back home to write.	John then got an idea for his painting.	1	John was writing lyrics for his new album. He started experiencing writer's block. He tried to force himself to write but it wouldn't do anything. He took a walk, hung out with some friends, and looked at nature.	2	1
325503ab-11f5-416d-81fb-3980793ca6f7	The cashier handed them the cash so they would go away.	The cashier invited the men to her high school reunion.	1	The cashier was counting the dollar bills at her desk. Two men rushed into the store and held their guns up. Everyone panicked and started to scream. The men threatened the people to remain quiet.	2	1
794c804e-89ca-47b1-a583-7300e0509764	They called the police to come to my house.	They liked me a lot after that.	1	The Mills next door had a new car. The car was stolen during the weekend. They came to my house and asked me if I knew anything. I told them I didn't, but for some reason they suspected me.	1	1
ece6f206-49ab-4c70-8a65-d6d2b0c97610	Kerry was disappointed.	Kerry was so grateful!	2	There was an extremely obnoxious boy in Kerry's economics class. He monopolized every class discussion with his mediocre ideas. The professor could never get him to be quiet. One day, he showed up to class with laryngitis.	2	1
61d1df75-b64c-485d-9599-0dd7f8809433	Franny ended up getting deported.	Franny learned to examine her prejudices.	2	Franny did not particularly like all of the immigration happening. She thought immigrants were coming to cause social problems. Franny was upset when an immigrant moved in next door. The immigrant, Sal, was kind and became friends with Franny.	1	1
482130ae-9698-477e-a20e-76b48d99a2e3	When he finished his paper he went to bed.	Luckily he had been saving everything on an external disk.	2	Brandon was given a 10 page research paper to write for class. He begun working on the paper on his 2003 Dell laptop. Brandon stayed up until 1 in the morning to try and finish his paper. Suddenly, his computer crashed and died.	1	1
3f076ec0-6985-418d-bb75-45b437aceca0	Ari opens the jar to find perfect pickles.	Ari's pickles are sweet.	1	Ari spends $20 a day on pickles. He decides to make his own to save money. He puts the pickles in brine. Ari waits 2 weeks for his pickles to get sour.	2	2
b5bc0ca6-03b0-43c0-8114-20186b5f783b	Trudey hoped self-publishing would be more profitable.	Trudey called her sister and asked her to come to dinner.	1	Trudey wanted to write novels for a living. She wrote one through traditional publishing means. It barely made enough to cover the advance she had received. She wrote another through self-publishing avenues.	1	1
43ff94c9-d83c-4ac5-bb44-d91f808c1e61	The pair then went out to pick olives.	Feliciano was happy about his nice day.	2	Feliciano went olive picking with his grandmother. While they picked, she told him stories of his ancestors. Before he realized it, the sun was going down. They took the olives home and ate them together.	2	1
5b2f7f43-ce2f-4405-9576-21ef0ae67612	Aaron suggested he help her cook another meal instead.	Aaron broke up with her.	1	Aaron's girlfriend asked him to come over for dinner. She said she was making his favorite, chicken alfredo. Aaron was very excited she wanted to cook, but he hated alfredo. She must have mixed up his words when he told her his least favorite.	1	2
d9dde843-ee66-4dca-820a-c3d489ba586f	Oliver decided to not get married.	Oliver was so grateful for his wife's love.	2	Oliver was nervous about his wedding. He was worried that he would stutter during the vows. When the time came, he took a deep breath and began to speak. He stuttered, but his wife smiled and hugged him and he was okay.	2	2
705d7e4d-3b56-48dc-9dad-9b14eff97d95	Sarah broke her leg.	Somebody found her cat.	2	Sara had lost her cat. She was so sad! She put up signs all over the neighborhood. Then a wonderful thing happened.	2	2
a37be14a-7724-464c-8344-87624fafaa34	Kelly was mad about that.	Kelly was so happy to finally beat it.	2	Kelly was playing her new Mario game. She had been playing it for weeks. She was playing for so long without beating the level. Finally she beat the last level.	2	2
17cfe8c3-561d-4910-8644-0565deccbe79	Deb said yes to Tim's marriage proposal.	Deb told Tim she was only interested in woman.	1	Tim and Deb have been dating for almost a year. They met at a party they attended last Christmas. Tim picked Deb up for a date tonight and took her to a fancy dinner. Just after dessert he proposed marriage.	2	1
87aa1560-0c24-4a6d-8507-6ae058e4422a	I thought the cereal was delicious.	I loved them anyway.	2	My roommate is from Germany. He is a very good cook. One day, he made some sausage for me that he ate back home in Germany. The sausage turned out poorly, according to him.	1	1
9cba37ea-cc3e-4775-b044-c3d3d4983d22	To this day I hate checkers.	I have very fond memories of checkers.	2	When I was a kid I really wanted to play checkers. I sat down with my grandpa and he taught me. At first, he was just teaching me but it became a special thing. As I got older, I continued to play checkers with him.	1	2
a0769cd4-45a0-492c-a566-b14b9b17cba6	Amy spent all of her money on clothes.	She loved her new phone.	2	Ivy wanted a cell phone like all her friends. She saved up her money from delivering papers. Soon she had enough for a phone. She went shopping and selected the perfect phone.	2	2
40f3b904-81c7-4e92-b245-ff20840733a2	Dave bought an entire case.	They were on sale.	2	Dave walked into the grocery store. He was going there to buy his favorite energy drink. He only had enough money to buy one can. He reached the aisle and what he saw made him smile.	1	2
b00c883d-782a-428a-be8d-1749a200575f	Gina asked her grandpa what kind of flowers he liked best.	Gina decided to go outside and pick some of the weeds.	2	Gina sat on her grandpa's bed staring outside. It was winter and his garden was dead until spring. Her grandpa had passed away so there would be no one to tend it. The weeds would take over and strangle the flowers.	2	1
1d3e5ddd-76a9-401d-8c5c-a6f5f0bd7160	She was offered the new job at a higher salary.	Ramona had no reason to want to change jobs.	1	Ramona was very unhappy in her job. She asked for a raise, but was denied. The refusal prompted her to aggressively comb the want ads. She found an interesting new possibility and set up an interview.	2	1
34ddd737-0709-4fc7-b64b-6c43eaf9f48c	My parents gave me enough money to buy the console.	At the end of the summer I gave the money back to my parents.	1	I wanted to buy a video game console. I asked my parents, and they came up with an idea. They said if I did my chores, I would be given money to save. I did my chores without being asked every week for a whole summer.	1	2
fc416bf8-23b2-41af-b4bf-ffc544321166	Felipe never wanted to go to Germany again.	Felipe visited Germany again later in his life.	2	Felipe had been interested in Germany since he was a young child. He learned about the language and culture by reading library books. Finally in college he was able to visit Berlin. Felipe loved the German art, food, and beer.	2	1
d8079c78-7eda-4006-a7f5-993cc1456bcb	Miles got up and walked away.	Miles decided that he needed to be more careful.	2	Miles was a roofer. He loved his job and was very good at it. However, one day he was not paying attention and fell off the roof. Luckily, he only broke his leg.	2	2
de97e427-f428-4b4e-80e6-b22b80a9f3f1	Johnny wanted to ask Anita out again.	Johnny did not ask Anita out again.	2	Johnny thought Anita was the girl for him, but he was wrong. He invited her out but she said she didn't feel well. Johnny decided to go to a club, just to drink and listen to music. At midnight, he looked back and saw Anita dancing with another guy.	2	1
4d1e86d9-f613-47c4-848e-0e4b9fbe3dce	He was near death for sure, he would be gone before night's end.	He got up and decided to go for a jog.	1	His eyes burned with pain. His stomach churned and twisted. His lungs were filled with fluid. Painful coughs rattled the halls of his small home.	1	2
c9bc611e-b71c-48e9-a3d3-4a4ebcb9a8cc	Tom hurried to study as much as possible before the test.	Tom felt prepared for the test.	1	Tom was studying for the big test. He then fell asleep do to boredom. He slept for five hours. He woke up shocked.	1	1
7ef8e330-87c0-45f1-a4ac-c51818a46ac5	He decided to buy more lunch and then he felt sick.	He then stopped eating because he was full.	1	My friends got lunch and met up at the table. Ben was hungry and finished his lunch before everyone did. He returned to the lunch line to buy more food. That didn't make him up.	1	1
86178f58-f674-42bc-91f8-23038c98197a	Jill and her dad took one kitten home.	Jill and her dad took both kittens home.	2	Jill's dad took her to pick out a kitten. There were two in the cage. She couldn't leave one behind. Her dad agreed.	1	1
2a41a1bd-54d3-40cb-ba38-eba5e3c5c31c	I got a nice sun tan that day.	I was hit in the face with a football and got a black eye.	1	Today was my 1st grade field trip. My class went to the field in the back of the school. Many students and faculty were resting on towels placed on the ground. In addition, many sports took place.	2	2
50a2e0a9-17b0-4670-9e3b-7c7a0bcf3512	The dog ran home with his tail between his legs.	The other dog got the better of him and bit his ear.	1	A dog paused by a pond to drink. He mistook his reflection for another dog. Spoiling for a fight, he leapt into the water. Unsurprisingly, his opponent proved elusive.	2	1
1257ebe1-6a10-49c0-bd35-28ca88e2baec	Peter hated Christmas.	Peter's daughter enjoyed the music.	2	Peter wished to show his daughter his favorite Christmas song. He played her a video of the song. Next, he let her listen to the sound track. The last time he decided to sing her the song.	2	2
00c4e875-144a-4c40-b83a-08a7e9926253	Yao placed in two categories.	The judges ate Yao's vegetables without rewarding him.	1	Yao was an enthusiastic gardener. He had a big garden in his backyard that he loved very much. He decided to take his vegetables and enter them in the local fair. He waited with anticipation for the results.	2	1
e347459b-dd6e-4b4e-afae-7bbb45964184	Mary lost her job because she didn't have any stamina.	Mary was glad she learned to jump rope.	2	Mary liked jumping rope. She would do it all the time. It kept her in good shape. She always had energy.	2	1
606f2a0b-3565-4cf8-8b95-efc4196a5ef3	He told me to go to hell.	He filled my order.	2	I was at the bar with some friends. It was my turn to buy a round. I went up to the bartender and asked him for 13 beers and a shot. He asked for my card and took my order.	2	1
c2053646-85b1-41b4-8244-bfb1a2c21029	His friend loved the tacos that Scott cooked.	His friend was so offended he asked Scott to leave.	1	Scott was hungry. He decided to cook dinner. He cooked tacos. He made enough to share with a friend.	1	2
1e65a4f0-bc9e-4ff7-84e0-8eff744d95aa	He was asked to join the team.	He played terribly.	1	Jorel wanted to try out for the basketball team. He practiced very hard. On the day of tryouts, he was very nervous. His practice paid off.	1	1
4970b8a1-f2b4-4cfd-85d0-0e93edbd86f7	Beth's dog had been hit by a car!	Beth had just won the lottery!	2	Beth and Carol went out for Chinese. After dinner Beth opened up her fortune cookie. Beth was anticipating good fortune for the rest of the week. Beth called her later in the week to give her good news.	2	1
f6f37f29-ff73-4b5b-980c-55b0a2d1340c	The water was very still.	The water exploded.	2	Sally liked the seltzer waters her mom bought. She grabbed one from the fridge. She was excited to open it and taste it. Sally didn't know her brother shook all of them beforehand.	2	1
e0644cca-3711-444f-ba22-22e701d18fa9	Her best friend felt angry.	Her best friend was elated.	2	The bride and groom walked down the aisle. The were finally married. The wedding was at the country club. When the bride threw her bouquet, her best friend caught it.	2	2
