text_a,text_b,label,score
erotica,"To be, or not to be, that is the question. And the answer is... yes",spectacle,3
fiction,They said the people were on their way.,message,1
fiction,The first time she saw her was the second time she heard it. ,twist,1
science-fiction,A giant robot with wings is attacking the Earth. A scientist has been assigned to destroy it and save the Earth.,message,5
literary fiction,Let's put this away. Let's go home.,lesson,3
cthulhu,A great and terrible and mysterious power is slowly and relentlessly working its way into the world.,message,5
cinema,A man who has no name finds himself the object of the lust of a woman who is known to everyone.,twist,4
the dark forest,"In the dark, a man's heart may die.",twist,5
novel for kids,The world can always use more heroes.,message,5
biblical epic,What was it like?,spectacle,1
dying earth,Be careful with the dead!,lesson,5
fiction,Never trust a man who is not smiling.,lesson,5
the dark forest,"In the beginning was the Word,",spectacle,2
fantasy,The world is in the hands of a madman.,message,5
mystery,A man can be so proud of himself that he will do anything.,lesson,4
haunt,"A man is on his way to the cemetery, and he sees a man walking the cemetery.",message,5
fantasy,The hero has a secret. He's a wizard. He has to do this.,twist,3
mystery,What does that mean?,lesson,1
science fiction,"If it ain't broke, don't fix it.",lesson,4
science-fiction,It is a small world when people are nice to one another.,twist,4
aeroplane,Aircraft are the most efficient forms of mass transport available in the 21st century,message,2
literary fiction,This was a moment of true tragedy.,message,3
bodyscapes,Don't try to draw a straight line.,lesson,3
aeroplane,"The pilot, as a rule, always takes the shortest route home.",twist,4
the dark forest,Never trust a person with a bad attitude!,lesson,5
thrillers,"What can a man do, when he has nothing to gain, and everything to lose?",spectacle,5
cthulhu,It can't be done,message,3
science fiction,"The universe has been shaped by the action of countless small forces, many of which are invisible to the naked eye.",spectacle,5
literary fiction,The only problem with the house was the people.,message,4
aeroplane,They can land a plane safely.,message,3
fiction,"A man is not the sum of his thoughts, he is the sum total of his emotions.",message,4
science-fiction,The only way to defeat the enemy is to become the enemy.,lesson,5
science-fiction,It's okay to cry,message,5
dark fantasy,Do not get too caught up in making a hero or villain.,lesson,5
dying earth,The only way to save the Earth from extinction is to stop the Earth's population from exploding.,message,5
science-fiction,The first and the last man had to die.,message,4
biblical epic,"And when Jesus saw it, he was amazed; he fell on his face, and worshiped.",spectacle,3
aeroplane,The plane is not going to fly.,message,3
erotica,"The man is a master at manipulating his environment, but in his case, his environment is his own body.",twist,5
science fiction,What makes a hero?,message,4
aeroplane,All the best things in life are free.,message,5
the dark forest,The first step in the way was an unassuming forest path,message,2
mystery,The world of the imagination is the world of fantasy.,spectacle,2
biblical epic,"And they all said, ",message,1
the great american novel,An important work by a great American novel author.,spectacle,1
empathy,"There is nothing more important than being true to yourself, no matter what others may think.",twist,4
dying earth,It is a very interesting way to show a dying world.,spectacle,3
bodyscapes,All men are brothers.,message,4
novel for kids,It's a bright day.,message,1
cthulhu,the first sign of the apocalypse was the disappearance of the last of the gods,message,4
drama,The real world is a very hard place to get things done.,lesson,5
aeroplane,He got down and was standing by the door.,twist,2
dying earth,The End of the End,twist,4
the great american novel,"a series of ornaments, decorations, or decorations as distinguished from a picture",spectacle,2
scifi,There's not a person that could get through a fight with a dog.,lesson,4
dying earth,"Earthquake, Tsunami, Tsavo.",spectacle,4
aeroplane,Aircraft engines don't have to break on the way down.,lesson,4
fantasy,He's so hot and bothered!,message,3
thrillers,They went from being the same person to not being the person they were.,twist,3
dark fantasy,The specter of the future is in the telling,spectacle,3
dying earth,It was a dark night with no stars to light it.,message,4
bodyscapes,"An ancient city, built to contain the spirit of an ancient god, has mysteriously vanished.",spectacle,5
fiction,A dramatic display. A display intended to convey some message or emotion.,spectacle,3
haunt,The dead never know the meaning of life.,message,5
cinema,"The Doctor must leave London and take on a new companion, but the time is right.",message,4
the dark forest,"When the sun goes down, there is only one thing that can be done. Kill the sun.",twist,5
scifi,This man...he's the most dangerous man in the universe.,twist,4
scifi,It's just a few minutes of space travel. They've never had to deal with this before.,twist,4
drama,The last day of the semester.,twist,4
the great american novel,"The American Dream, or the Dream of America",spectacle,5
bodyscapes,A man who has spent all his money on drugs goes to prison for a long time.,twist,4
